,player_num,Type,preference,timestamp,reference_player_num
0,18,SWITCH,1,133.56,2
1,24,SWITCH,2,133.56,2
2,28,LINK,1,142.52,2
3,28,LINK,1,227.16,2
4,23,SWITCH,2,227.16,2
6,23,SWITCH,1,551.4,2
7,13,LINK,1,558.52,2
8,28,LINK,1,572.2,2
9,24,SWITCH,1,709.16,2
10,24,SWITCH,1,719.8,2
11,28,LINK,1,745.16,2
13,24,SWITCH,1,883.96,2
14,23,SWITCH,1,892.44,2
15,23,HFM,1,1060.08,2
16,23,HFM,1,1151.12,2
17,24,SWITCH,1,1177.6,2
18,28,LINK,1,1201.24,2
19,23,SWITCH,1,1366.72,2
20,8,HFM,1,1413.44,2
22,18,SWITCH,1,1450.8,2
23,24,SWITCH,1,1553.6,2
24,28,HFM,1,1647.08,2
25,16,SWITCH,1,1767.6,2
26,24,SWITCH,1,1833.64,2
27,24,SWITCH,1,2051.56,2
28,18,HFM,1,2168.76,2
29,28,HFM,1,2263.4,2
30,23,HFM,1,2314.52,2
